City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,zhigansk,66.7697,123.3711,240.97,95,97,0.43,RU,1677462735
332,valleyview,55.0667,-117.2859,264.17,86,100,3.6,CA,1677462735
333,bodden town,19.2833,-81.25,298.15,73,20,4.63,KY,1677462736
334,acapulco,16.8634,-99.8901,298.74,75,1,3.33,MX,1677462541
335,vila velha,-20.3297,-40.2925,299.12,87,0,3.6,BR,1677462736
336,axim,4.8699,-2.2405,300.29,85,99,4.08,GH,1677462736
337,roald,62.5833,6.1333,279.12,93,75,5.66,NO,1677462737
338,coquimbo,-29.9533,-71.3436,291.0,94,0,1.03,CL,1677462737
339,chernyshevskiy,63.0128,112.4714,245.97,91,44,1.34,RU,1677462737
340,wewak,-3.5534,143.6268,298.51,93,100,4.54,PG,1677462738
341,orichi,58.4036,49.0572,272.4,92,100,4.88,RU,1677462738
342,hirara,24.8,125.2833,294.07,56,40,7.72,JP,1677462738
343,kiunga,-6.1219,141.2906,303.38,65,100,0.36,PG,1677462739
344,lamu,-2.2717,40.902,299.27,85,41,5.02,KE,1677462739
345,khipro,25.8285,69.3772,294.39,52,16,3.06,PK,1677462740
346,faanui,-16.4833,-151.75,301.49,67,97,4.26,PF,1677462741
347,morki,56.4303,48.9947,273.09,88,100,6.17,RU,1677462741
348,cockburn town,21.4612,-71.1419,296.75,68,0,4.78,TC,1677462680
349,itarema,-2.9248,-39.9167,297.7,91,85,3.32,BR,1677462742
350,harper,4.375,-7.7169,299.25,87,100,4.28,LR,1677462742
351,calbuco,-41.768,-73.1273,287.71,82,69,1.99,CL,1677462574
352,artyom,40.4723,50.333,280.23,84,0,7.92,AZ,1677462743
353,juneau,58.3019,-134.4197,270.49,84,100,0.0,US,1677462738
354,balkhash,46.844,74.9804,257.49,72,0,9.0,KZ,1677462743
355,katherine,-14.4667,132.2667,302.33,70,75,6.17,AU,1677462743
356,constitucion,-35.3333,-72.4167,290.51,53,1,4.91,CL,1677462657
357,kurilsk,45.2333,147.8833,267.82,71,98,7.71,RU,1677462744
358,berlevag,70.8578,29.0864,276.15,81,100,8.75,NO,1677462744
359,tabas,33.5959,56.9244,287.27,44,100,1.03,IR,1677462745
360,sipe sipe,-17.45,-66.3833,291.42,75,100,1.69,BO,1677462745
361,santo tomas,14.1079,121.1414,302.29,79,99,6.21,PH,1677462745
362,oksbol,55.6268,8.2876,270.21,69,30,1.89,DK,1677462746
363,port elizabeth,-33.918,25.5701,293.32,92,100,3.6,ZA,1677462746
364,de aar,-30.6497,24.0123,292.37,45,0,4.5,ZA,1677462746
365,fairview,40.8126,-73.999,281.74,63,0,4.63,US,1677462707
366,san antonio,29.4241,-98.4936,296.77,75,0,9.26,US,1677462448
